Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type;Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
An Implementation of a Unified Security, Trust and Privacy (STP) Framework for Future Integrated RFID System;Future Data and Security Engineering;;;;10.1007/978-3-319-12778-1_10;Mohd Faizal MubarakJamalul-Lail Ab MananSaadiah Yahya;2014;http://link.springer.com/chapter/10.1007/978-3-319-12778-1_10;Chapter;"An Implementation of a Unified Security, Trust and Privacy (STP) Framework for Future Integrated RFID System,""Future Data and Security Engineering"","""","""","""",""10.1007/978-3-319-12778-1_10"",""Mohd Faizal MubarakJamalul-Lail Ab MananSaadiah Yahya"",""2014"",""http://link.springer.com/chapter/10.1007/978-3-319-12778-1_10"",""Chapter"""
Model-Based Performance Instrumentation of Distributed Applications;Distributed Applications and Interoperable Systems;;;;10.1007/978-3-540-68642-2_17;Jan SchaeferJeanne StynesReinhold Kroeger;2008;http://link.springer.com/chapter/10.1007/978-3-540-68642-2_17;Chapter;"Model-Based Performance Instrumentation of Distributed Applications,""Distributed Applications and Interoperable Systems"","""","""","""",""10.1007/978-3-540-68642-2_17"",""Jan SchaeferJeanne StynesReinhold Kroeger"",""2008"",""http://link.springer.com/chapter/10.1007/978-3-540-68642-2_17"",""Chapter"""
A Tool for Automated Resource Consumption Profiling of Distributed Transactions;Distributed Computing and Internet Technology;;;;10.1007/11604655_19;B. NagaprabhanjanVarsha Apte;2005;http://link.springer.com/chapter/10.1007/11604655_19;Chapter;"A Tool for Automated Resource Consumption Profiling of Distributed Transactions,""Distributed Computing and Internet Technology"","""","""","""",""10.1007/11604655_19"",""B. NagaprabhanjanVarsha Apte"",""2005"",""http://link.springer.com/chapter/10.1007/11604655_19"",""Chapter"""
Re-examination of interestingness measures in pattern mining: a unified framework;Data Mining and Knowledge Discovery;;21;3;10.1007/s10618-009-0161-2;Tianyi WuYuguo ChenJiawei Han;2010;http://link.springer.com/article/10.1007/s10618-009-0161-2;Article;"Re-examination of interestingness measures in pattern mining: a unified framework,""Data Mining and Knowledge Discovery"","""",""21"",""3"",""10.1007/s10618-009-0161-2"",""Tianyi WuYuguo ChenJiawei Han"",""2010"",""http://link.springer.com/article/10.1007/s10618-009-0161-2"",""Article"""
Mining Sequential Support Affinity Patterns with Weight Constraints;Distributed Computing and Internet Technology;;;;10.1007/11951957_36;Unil Yun;2006;http://link.springer.com/chapter/10.1007/11951957_36;Chapter;"Mining Sequential Support Affinity Patterns with Weight Constraints,""Distributed Computing and Internet Technology"","""","""","""",""10.1007/11951957_36"",""Unil Yun"",""2006"",""http://link.springer.com/chapter/10.1007/11951957_36"",""Chapter"""
Execution Traces: A New Domain That Requires the Creation of a Standard Metamodel;Advances in Software Engineering;;;;10.1007/978-3-642-10619-4_31;Luay AlawnehAbdelwahab Hamou-Lhadj;2009;http://link.springer.com/chapter/10.1007/978-3-642-10619-4_31;Chapter;"Execution Traces: A New Domain That Requires the Creation of a Standard Metamodel,""Advances in Software Engineering"","""","""","""",""10.1007/978-3-642-10619-4_31"",""Luay AlawnehAbdelwahab Hamou-Lhadj"",""2009"",""http://link.springer.com/chapter/10.1007/978-3-642-10619-4_31"",""Chapter"""
Fault Tolerant Grid Registry;Distributed and Parallel Systems;;;;10.1007/978-0-387-69858-8_14;Marek KasztelnikMarian Bubak SupervisorCezary GórkaMaciej MalawskiTomasz Gubala;2007;http://link.springer.com/chapter/10.1007/978-0-387-69858-8_14;Chapter;"Fault Tolerant Grid Registry,""Distributed and Parallel Systems"","""","""","""",""10.1007/978-0-387-69858-8_14"",""Marek KasztelnikMarian Bubak SupervisorCezary GórkaMaciej MalawskiTomasz Gubala"",""2007"",""http://link.springer.com/chapter/10.1007/978-0-387-69858-8_14"",""Chapter"""
Digital circuit testing and design for testability;Design of Logic Systems;;;;10.1007/978-1-4899-6856-2_10;D. LewinD. Protheroe;1992;http://link.springer.com/chapter/10.1007/978-1-4899-6856-2_10;Chapter;"Digital circuit testing and design for testability,""Design of Logic Systems"","""","""","""",""10.1007/978-1-4899-6856-2_10"",""D. LewinD. Protheroe"",""1992"",""http://link.springer.com/chapter/10.1007/978-1-4899-6856-2_10"",""Chapter"""
Analysis of Optimization Techniques to Improve User Response Time of Web Applications and Their Implementation for MOODLE;Advances in Information Technology;;;;10.1007/978-3-319-03783-7_14;Priyanka Manchanda;2013;http://link.springer.com/chapter/10.1007/978-3-319-03783-7_14;Chapter;"Analysis of Optimization Techniques to Improve User Response Time of Web Applications and Their Implementation for MOODLE,""Advances in Information Technology"","""","""","""",""10.1007/978-3-319-03783-7_14"",""Priyanka Manchanda"",""2013"",""http://link.springer.com/chapter/10.1007/978-3-319-03783-7_14"",""Chapter"""
Novel Learning Tasks, Optimization, and Their Application;Advances in Computational Intelligence;;;;10.1007/978-3-662-05609-7_8;Guido DanielJan DienstuhlSebastian EngellSven FelskeKarl GoserRalf KlinkenbergKatharina MorikOliver RitthoffHenner Schmidt-Traub;2003;http://link.springer.com/chapter/10.1007/978-3-662-05609-7_8;Chapter;"Novel Learning Tasks, Optimization, and Their Application,""Advances in Computational Intelligence"","""","""","""",""10.1007/978-3-662-05609-7_8"",""Guido DanielJan DienstuhlSebastian EngellSven FelskeKarl GoserRalf KlinkenbergKatharina MorikOliver RitthoffHenner Schmidt-Traub"",""2003"",""http://link.springer.com/chapter/10.1007/978-3-662-05609-7_8"",""Chapter"""
Specification and Verification of Agent Interaction Using Abductive Reasoning;Computational Logic in Multi-Agent Systems;;;;10.1007/11750734_14;Federico ChesaniMarco GavanelliMarco AlbertiEvelina LammaPaola MelloPaolo Torroni;2006;http://link.springer.com/chapter/10.1007/11750734_14;Chapter;"Specification and Verification of Agent Interaction Using Abductive Reasoning,""Computational Logic in Multi-Agent Systems"","""","""","""",""10.1007/11750734_14"",""Federico ChesaniMarco GavanelliMarco AlbertiEvelina LammaPaola MelloPaolo Torroni"",""2006"",""http://link.springer.com/chapter/10.1007/11750734_14"",""Chapter"""
HFST Tools for Morphology – An Efficient Open-Source Package for Construction of Morphological Analyzers;State of the Art in Computational Morphology;;;;10.1007/978-3-642-04131-0_3;Krister LindénMiikka SilfverbergTommi Pirinen;2009;http://link.springer.com/chapter/10.1007/978-3-642-04131-0_3;Chapter;"HFST Tools for Morphology – An Efficient Open-Source Package for Construction of Morphological Analyzers,""State of the Art in Computational Morphology"","""","""","""",""10.1007/978-3-642-04131-0_3"",""Krister LindénMiikka SilfverbergTommi Pirinen"",""2009"",""http://link.springer.com/chapter/10.1007/978-3-642-04131-0_3"",""Chapter"""
On Architecture Warehouses and Software Intelligence;Future Generation Information Technology;;;;10.1007/978-3-642-35585-1_35;Robert Dąbrowski;2012;http://link.springer.com/chapter/10.1007/978-3-642-35585-1_35;Chapter;"On Architecture Warehouses and Software Intelligence,""Future Generation Information Technology"","""","""","""",""10.1007/978-3-642-35585-1_35"",""Robert Dąbrowski"",""2012"",""http://link.springer.com/chapter/10.1007/978-3-642-35585-1_35"",""Chapter"""
Towards Efficient Component Performance Analysis in Component Based Architectures;Software Quality. Process Automation in Software Development;;;;10.1007/978-3-642-27213-4_9;Nabila SalmiMalika Ioualalen;2012;http://link.springer.com/chapter/10.1007/978-3-642-27213-4_9;Chapter;"Towards Efficient Component Performance Analysis in Component Based Architectures,""Software Quality. Process Automation in Software Development"","""","""","""",""10.1007/978-3-642-27213-4_9"",""Nabila SalmiMalika Ioualalen"",""2012"",""http://link.springer.com/chapter/10.1007/978-3-642-27213-4_9"",""Chapter"""
A Self-healing Web Server Using Differentiated Services;Service-Oriented Computing – ICSOC 2006;;;;10.1007/11948148_17;Henri NaccacheGerald C. GannodKevin A. Gary;2006;http://link.springer.com/chapter/10.1007/11948148_17;Chapter;"A Self-healing Web Server Using Differentiated Services,""Service-Oriented Computing – ICSOC 2006"","""","""","""",""10.1007/11948148_17"",""Henri NaccacheGerald C. GannodKevin A. Gary"",""2006"",""http://link.springer.com/chapter/10.1007/11948148_17"",""Chapter"""
j2eeprof — a tool for testing multitier applications;Software Engineering Techniques: Design for Quality;;;;10.1007/978-0-387-39388-9_20;Paweł KłaczewskiJacek Wytrębowicz;2007;http://link.springer.com/chapter/10.1007/978-0-387-39388-9_20;Chapter;"j2eeprof — a tool for testing multitier applications,""Software Engineering Techniques: Design for Quality"","""","""","""",""10.1007/978-0-387-39388-9_20"",""Paweł KłaczewskiJacek Wytrębowicz"",""2007"",""http://link.springer.com/chapter/10.1007/978-0-387-39388-9_20"",""Chapter"""
Green mining: a methodology of relating software change and configuration to power consumption;Empirical Software Engineering;;20;2;10.1007/s10664-013-9276-6;Abram Hindle;2015;http://link.springer.com/article/10.1007/s10664-013-9276-6;Article;"Green mining: a methodology of relating software change and configuration to power consumption,""Empirical Software Engineering"","""",""20"",""2"",""10.1007/s10664-013-9276-6"",""Abram Hindle"",""2015"",""http://link.springer.com/article/10.1007/s10664-013-9276-6"",""Article"""
REMUS: A Rerouting and Multiplexing System for Grid Connectivity Across Firewalls;Journal of Grid Computing;;7;1;10.1007/s10723-008-9104-1;Jefferson TanDavid AbramsonColin Enticott;2008;http://link.springer.com/article/10.1007/s10723-008-9104-1;Article;"REMUS: A Rerouting and Multiplexing System for Grid Connectivity Across Firewalls,""Journal of Grid Computing"","""",""7"",""1"",""10.1007/s10723-008-9104-1"",""Jefferson TanDavid AbramsonColin Enticott"",""2008"",""http://link.springer.com/article/10.1007/s10723-008-9104-1"",""Article"""
The Test Technology TTCN-3;Formal Methods and Testing;;;;10.1007/978-3-540-78917-8_10;Ina SchieferdeckerJens GrabowskiTheofanis Vassiliou-GiolesGeorge Din;2008;http://link.springer.com/chapter/10.1007/978-3-540-78917-8_10;Chapter;"The Test Technology TTCN-3,""Formal Methods and Testing"","""","""","""",""10.1007/978-3-540-78917-8_10"",""Ina SchieferdeckerJens GrabowskiTheofanis Vassiliou-GiolesGeorge Din"",""2008"",""http://link.springer.com/chapter/10.1007/978-3-540-78917-8_10"",""Chapter"""
OrderBased Labeling Scheme for Dynamic XML Query Processing;Multidisciplinary Research and Practice for Information Systems;;;;10.1007/978-3-642-32498-7_22;Beakal Gizachew AssefaBelgin Ergenc;2012;http://link.springer.com/chapter/10.1007/978-3-642-32498-7_22;Chapter;"OrderBased Labeling Scheme for Dynamic XML Query Processing,""Multidisciplinary Research and Practice for Information Systems"","""","""","""",""10.1007/978-3-642-32498-7_22"",""Beakal Gizachew AssefaBelgin Ergenc"",""2012"",""http://link.springer.com/chapter/10.1007/978-3-642-32498-7_22"",""Chapter"""
Strategies and Methods for Test Case Design I;Practical Software Testing;;;;10.1007/0-387-21658-8_4;;2003;http://link.springer.com/chapter/10.1007/0-387-21658-8_4;Chapter;"Strategies and Methods for Test Case Design I,""Practical Software Testing"","""","""","""",""10.1007/0-387-21658-8_4"","""",""2003"",""http://link.springer.com/chapter/10.1007/0-387-21658-8_4"",""Chapter"""
An Efficient Data Maintenance Strategy for Data Service Mashup Based on Materialized View Selection;Service-Oriented Computing - ICSOC 2012 Workshops;;;;10.1007/978-3-642-37804-1_3;Peng ZhangYanbo HanGuiling Wang;2013;http://link.springer.com/chapter/10.1007/978-3-642-37804-1_3;Chapter;"An Efficient Data Maintenance Strategy for Data Service Mashup Based on Materialized View Selection,""Service-Oriented Computing - ICSOC 2012 Workshops"","""","""","""",""10.1007/978-3-642-37804-1_3"",""Peng ZhangYanbo HanGuiling Wang"",""2013"",""http://link.springer.com/chapter/10.1007/978-3-642-37804-1_3"",""Chapter"""
Model-Based Testing of Object-Oriented Systems;Formal Methods for Components and Objects;;;;10.1007/978-3-540-39656-7_16;Bernhard Rumpe;2003;http://link.springer.com/chapter/10.1007/978-3-540-39656-7_16;Chapter;"Model-Based Testing of Object-Oriented Systems,""Formal Methods for Components and Objects"","""","""","""",""10.1007/978-3-540-39656-7_16"",""Bernhard Rumpe"",""2003"",""http://link.springer.com/chapter/10.1007/978-3-540-39656-7_16"",""Chapter"""
Adaptive Processing of Multi-Criteria Decision Support Queries;Enabling Real-Time Business Intelligence;;;;10.1007/978-3-642-33500-6_6;Shweta SrivastavaVenkatesh RaghavanElke A. Rundensteiner;2012;http://link.springer.com/chapter/10.1007/978-3-642-33500-6_6;Chapter;"Adaptive Processing of Multi-Criteria Decision Support Queries,""Enabling Real-Time Business Intelligence"","""","""","""",""10.1007/978-3-642-33500-6_6"",""Shweta SrivastavaVenkatesh RaghavanElke A. Rundensteiner"",""2012"",""http://link.springer.com/chapter/10.1007/978-3-642-33500-6_6"",""Chapter"""
CHAPTER 7 Server Architecture;Foundations of Python Network Programming;;;;10.1007/978-1-4302-3004-5_7;Brandon RhodesJohn Goerzen;2010;http://link.springer.com/chapter/10.1007/978-1-4302-3004-5_7;Chapter;"CHAPTER 7 Server Architecture,""Foundations of Python Network Programming"","""","""","""",""10.1007/978-1-4302-3004-5_7"",""Brandon RhodesJohn Goerzen"",""2010"",""http://link.springer.com/chapter/10.1007/978-1-4302-3004-5_7"",""Chapter"""
Example 3: Entity EJBs for Database Integration;J2EE FrontEnd Technologies: A Programmer’s Guide to Servlets, JavaServer Pages, and Enterprise JavaBeans;;;;10.1007/978-1-4302-1148-8_11;Lennart Jörelid;2002;http://link.springer.com/chapter/10.1007/978-1-4302-1148-8_11;Chapter;"Example 3: Entity EJBs for Database Integration,""J2EE FrontEnd Technologies: A Programmer’s Guide to Servlets, JavaServer Pages, and Enterprise JavaBeans"","""","""","""",""10.1007/978-1-4302-1148-8_11"",""Lennart Jörelid"",""2002"",""http://link.springer.com/chapter/10.1007/978-1-4302-1148-8_11"",""Chapter"""
Grid Computing with Relativistic Quantum Chemistry Software;Journal of Grid Computing;;12;4;10.1007/s10723-014-9309-4;Miroslav IliašMiroslav Dobrucký;2014;http://link.springer.com/article/10.1007/s10723-014-9309-4;Article;"Grid Computing with Relativistic Quantum Chemistry Software,""Journal of Grid Computing"","""",""12"",""4"",""10.1007/s10723-014-9309-4"",""Miroslav IliašMiroslav Dobrucký"",""2014"",""http://link.springer.com/article/10.1007/s10723-014-9309-4"",""Article"""
Transportation Use Cases;Introduction to Transportation Analysis, Modeling and Simulation;;;;10.1007/978-1-4471-5637-6_6;Dietmar P. F. Möller;2014;http://link.springer.com/chapter/10.1007/978-1-4471-5637-6_6;Chapter;"Transportation Use Cases,""Introduction to Transportation Analysis, Modeling and Simulation"","""","""","""",""10.1007/978-1-4471-5637-6_6"",""Dietmar P. F. Möller"",""2014"",""http://link.springer.com/chapter/10.1007/978-1-4471-5637-6_6"",""Chapter"""
Optical Networks Magazine, Volume 2, Number 1;Optical Networks Magazine;;2;1;10.1023/A:1017267230889;;2001;http://link.springer.com/article/10.1023/A%3A1017267230889;Article;"Optical Networks Magazine, Volume 2, Number 1,""Optical Networks Magazine"","""",""2"",""1"",""10.1023/A:1017267230889"","""",""2001"",""http://link.springer.com/article/10.1023/A%3A1017267230889"",""Article"""
Multivariate Estimation of Resource Utilization Bounds of any Variable Schedule in a Computing System;Beyond Databases, Architectures, and Structures;;;;10.1007/978-3-319-06932-6_30;Susmit Bagchi;2014;http://link.springer.com/chapter/10.1007/978-3-319-06932-6_30;Chapter;"Multivariate Estimation of Resource Utilization Bounds of any Variable Schedule in a Computing System,""Beyond Databases, Architectures, and Structures"","""","""","""",""10.1007/978-3-319-06932-6_30"",""Susmit Bagchi"",""2014"",""http://link.springer.com/chapter/10.1007/978-3-319-06932-6_30"",""Chapter"""
16 TTCN-3;Model-Based Testing of Reactive Systems;;;;10.1007/11498490_21;George Din;2005;http://link.springer.com/chapter/10.1007/11498490_21;Chapter;"16 TTCN-3,""Model-Based Testing of Reactive Systems"","""","""","""",""10.1007/11498490_21"",""George Din"",""2005"",""http://link.springer.com/chapter/10.1007/11498490_21"",""Chapter"""
Test based security certifications;Open Source Systems Security Certification;;;;10.1007/978-0-387-77324-7_3;Ernesto DamianiClaudio Agostino ArdagnaNabil El Ioini;2009;http://link.springer.com/chapter/10.1007/978-0-387-77324-7_3;Chapter;"Test based security certifications,""Open Source Systems Security Certification"","""","""","""",""10.1007/978-0-387-77324-7_3"",""Ernesto DamianiClaudio Agostino ArdagnaNabil El Ioini"",""2009"",""http://link.springer.com/chapter/10.1007/978-0-387-77324-7_3"",""Chapter"""
Improvement of Imperfect String Matching Based on Asymmetric n-Grams;Computational Collective Intelligence. Technologies and Applications;;;;10.1007/978-3-642-40495-5_31;Julian SzymańskiTomasz Boiński;2013;http://link.springer.com/chapter/10.1007/978-3-642-40495-5_31;Chapter;"Improvement of Imperfect String Matching Based on Asymmetric n-Grams,""Computational Collective Intelligence. Technologies and Applications"","""","""","""",""10.1007/978-3-642-40495-5_31"",""Julian SzymańskiTomasz Boiński"",""2013"",""http://link.springer.com/chapter/10.1007/978-3-642-40495-5_31"",""Chapter"""
An Analytical Model-Based Auto-tuning Framework for Locality-Aware Loop Scheduling;High Performance Computing;;;;10.1007/978-3-319-41321-1_1;Rengan XuSunita ChandrasekaranXiaonan TianBarbara Chapman;2016;http://link.springer.com/chapter/10.1007/978-3-319-41321-1_1;Chapter;"An Analytical Model-Based Auto-tuning Framework for Locality-Aware Loop Scheduling,""High Performance Computing"","""","""","""",""10.1007/978-3-319-41321-1_1"",""Rengan XuSunita ChandrasekaranXiaonan TianBarbara Chapman"",""2016"",""http://link.springer.com/chapter/10.1007/978-3-319-41321-1_1"",""Chapter"""
Integrating behavior analysis into architectural modeling;Frontiers of Computer Science;;9;1;10.1007/s11704-014-3505-z;Luxi ChenLinpeng HuangChen LiTao Zan;2015;http://link.springer.com/article/10.1007/s11704-014-3505-z;Article;"Integrating behavior analysis into architectural modeling,""Frontiers of Computer Science"","""",""9"",""1"",""10.1007/s11704-014-3505-z"",""Luxi ChenLinpeng HuangChen LiTao Zan"",""2015"",""http://link.springer.com/article/10.1007/s11704-014-3505-z"",""Article"""
Fractionated Software for Networked Cyber-Physical Systems: Research Directions and Long-Term Vision;Formal Modeling: Actors, Open Systems, Biological Systems;;;;10.1007/978-3-642-24933-4_7;Mark-Oliver StehrCarolyn TalcottJohn RushbyPat LincolnMinyoung KimSteven CheungAndy Poggio;2011;http://link.springer.com/chapter/10.1007/978-3-642-24933-4_7;Chapter;"Fractionated Software for Networked Cyber-Physical Systems: Research Directions and Long-Term Vision,""Formal Modeling: Actors, Open Systems, Biological Systems"","""","""","""",""10.1007/978-3-642-24933-4_7"",""Mark-Oliver StehrCarolyn TalcottJohn RushbyPat LincolnMinyoung KimSteven CheungAndy Poggio"",""2011"",""http://link.springer.com/chapter/10.1007/978-3-642-24933-4_7"",""Chapter"""
Modular Termination Analysis of Java Bytecode and Its Application to phoneME Core Libraries;Formal Aspects of Component Software;;;;10.1007/978-3-642-27269-1_13;D. Ramírez-DeantesJ. CorreasG. Puebla;2012;http://link.springer.com/chapter/10.1007/978-3-642-27269-1_13;Chapter;"Modular Termination Analysis of Java Bytecode and Its Application to phoneME Core Libraries,""Formal Aspects of Component Software"","""","""","""",""10.1007/978-3-642-27269-1_13"",""D. Ramírez-DeantesJ. CorreasG. Puebla"",""2012"",""http://link.springer.com/chapter/10.1007/978-3-642-27269-1_13"",""Chapter"""
Benchmarking RDF Query Engines and Instance Matching Systems;Linked Data;;;;10.1007/978-3-319-73515-3_7;Sherif SakrMarcin WylotRaghava MutharajuDanh Le PhuocIrini Fundulaki;2018;http://link.springer.com/chapter/10.1007/978-3-319-73515-3_7;Chapter;"Benchmarking RDF Query Engines and Instance Matching Systems,""Linked Data"","""","""","""",""10.1007/978-3-319-73515-3_7"",""Sherif SakrMarcin WylotRaghava MutharajuDanh Le PhuocIrini Fundulaki"",""2018"",""http://link.springer.com/chapter/10.1007/978-3-319-73515-3_7"",""Chapter"""
Incorporating message weights in UML-based analysis of behavioral dependencies in distributed systems;Software & Systems Modeling;;9;1;10.1007/s10270-008-0111-2;Vahid Garousi;2008;http://link.springer.com/article/10.1007/s10270-008-0111-2;Article;"Incorporating message weights in UML-based analysis of behavioral dependencies in distributed systems,""Software & Systems Modeling"","""",""9"",""1"",""10.1007/s10270-008-0111-2"",""Vahid Garousi"",""2008"",""http://link.springer.com/article/10.1007/s10270-008-0111-2"",""Article"""
Printing in Ubiquitous Computing Environments;Ubiquitous Intelligence and Computing;;;;10.1007/978-3-642-02830-4_8;Athanasios KarapantelakisAlisa DevlicMohammad ZarifySaltanat Khamit;2009;http://link.springer.com/chapter/10.1007/978-3-642-02830-4_8;Chapter;"Printing in Ubiquitous Computing Environments,""Ubiquitous Intelligence and Computing"","""","""","""",""10.1007/978-3-642-02830-4_8"",""Athanasios KarapantelakisAlisa DevlicMohammad ZarifySaltanat Khamit"",""2009"",""http://link.springer.com/chapter/10.1007/978-3-642-02830-4_8"",""Chapter"""
Design and Implementation of a Lightweight Kernel-Level Network Intrusion Prevention System for Virtualized Environment (Short Paper);Information Security Practice and Experience;;;;10.1007/978-3-319-72359-4_36;Mei-Ling ChiangJian-Kai WangLi-Chi FengYang-Sen ChenYou-Chi WangWen-Yu Kao;2017;http://link.springer.com/chapter/10.1007/978-3-319-72359-4_36;Chapter;"Design and Implementation of a Lightweight Kernel-Level Network Intrusion Prevention System for Virtualized Environment (Short Paper),""Information Security Practice and Experience"","""","""","""",""10.1007/978-3-319-72359-4_36"",""Mei-Ling ChiangJian-Kai WangLi-Chi FengYang-Sen ChenYou-Chi WangWen-Yu Kao"",""2017"",""http://link.springer.com/chapter/10.1007/978-3-319-72359-4_36"",""Chapter"""
System Simulation;The Electronic Design Automation Handbook;;;;10.1007/978-0-387-73543-6_13;Peter Schwarz;2003;http://link.springer.com/chapter/10.1007/978-0-387-73543-6_13;Chapter;"System Simulation,""The Electronic Design Automation Handbook"","""","""","""",""10.1007/978-0-387-73543-6_13"",""Peter Schwarz"",""2003"",""http://link.springer.com/chapter/10.1007/978-0-387-73543-6_13"",""Chapter"""
Image Compression;Data Compression;;;;10.1007/978-3-642-86092-8_5;David Salomon;2000;http://link.springer.com/chapter/10.1007/978-3-642-86092-8_5;Chapter;"Image Compression,""Data Compression"","""","""","""",""10.1007/978-3-642-86092-8_5"",""David Salomon"",""2000"",""http://link.springer.com/chapter/10.1007/978-3-642-86092-8_5"",""Chapter"""
Developing Case-Based Reasoning Applications Using myCBR 3;Case-Based Reasoning Research and Development;;;;10.1007/978-3-642-32986-9_4;Kerstin BachKlaus-Dieter Althoff;2012;http://link.springer.com/chapter/10.1007/978-3-642-32986-9_4;Chapter;"Developing Case-Based Reasoning Applications Using myCBR 3,""Case-Based Reasoning Research and Development"","""","""","""",""10.1007/978-3-642-32986-9_4"",""Kerstin BachKlaus-Dieter Althoff"",""2012"",""http://link.springer.com/chapter/10.1007/978-3-642-32986-9_4"",""Chapter"""
Implementation and Performance Testing of ID Layer Nodes for Hierarchized IoT Network;Intelligent Information and Database Systems;;;;10.1007/978-3-319-15705-4_45;Jordi Mongay BatallaMariusz GajewskiWaldemar LatoszekPiotr Krawiec;2015;http://link.springer.com/chapter/10.1007/978-3-319-15705-4_45;Chapter;"Implementation and Performance Testing of ID Layer Nodes for Hierarchized IoT Network,""Intelligent Information and Database Systems"","""","""","""",""10.1007/978-3-319-15705-4_45"",""Jordi Mongay BatallaMariusz GajewskiWaldemar LatoszekPiotr Krawiec"",""2015"",""http://link.springer.com/chapter/10.1007/978-3-319-15705-4_45"",""Chapter"""
Zones-of-Influence Framework;Spatial Awareness of Autonomous Embedded Systems;;;;10.1007/978-3-8348-9569-1_6;Clemens Holzmann;2009;http://link.springer.com/chapter/10.1007/978-3-8348-9569-1_6;Chapter;"Zones-of-Influence Framework,""Spatial Awareness of Autonomous Embedded Systems"","""","""","""",""10.1007/978-3-8348-9569-1_6"",""Clemens Holzmann"",""2009"",""http://link.springer.com/chapter/10.1007/978-3-8348-9569-1_6"",""Chapter"""
Modular System Verification by Inference, Testing and Reachability Analysis;Testing of Software and Communicating Systems;;;;10.1007/978-3-540-68524-1_16;Roland GrozKeqin LiAlexandre PetrenkoMuzammil Shahbaz;2008;http://link.springer.com/chapter/10.1007/978-3-540-68524-1_16;Chapter;"Modular System Verification by Inference, Testing and Reachability Analysis,""Testing of Software and Communicating Systems"","""","""","""",""10.1007/978-3-540-68524-1_16"",""Roland GrozKeqin LiAlexandre PetrenkoMuzammil Shahbaz"",""2008"",""http://link.springer.com/chapter/10.1007/978-3-540-68524-1_16"",""Chapter"""
Extracting DC bus current information for optimal phase correction and current ripple in sensorless brushless DC motor drive;Journal of Zhejiang University SCIENCE C;;15;4;10.1631/jzus.C1300247;Zu-sheng HoChii-maw UangPing-chieh Wang;2014;http://link.springer.com/article/10.1631/jzus.C1300247;Article;"Extracting DC bus current information for optimal phase correction and current ripple in sensorless brushless DC motor drive,""Journal of Zhejiang University SCIENCE C"","""",""15"",""4"",""10.1631/jzus.C1300247"",""Zu-sheng HoChii-maw UangPing-chieh Wang"",""2014"",""http://link.springer.com/article/10.1631/jzus.C1300247"",""Article"""
What the Maestro Needs to Know: Advanced Orchestration Concepts;Pro BizTalk 2009;;;;10.1007/978-1-4302-1982-8_7;;2009;http://link.springer.com/chapter/10.1007/978-1-4302-1982-8_7;Chapter;"What the Maestro Needs to Know: Advanced Orchestration Concepts,""Pro BizTalk 2009"","""","""","""",""10.1007/978-1-4302-1982-8_7"","""",""2009"",""http://link.springer.com/chapter/10.1007/978-1-4302-1982-8_7"",""Chapter"""
A social interactive whiteboard system using finger-tracking for mobile devices;Multimedia Tools and Applications;;76;4;10.1007/s11042-016-3922-0;Morten BestedAndreas Harby WeisbergFrederico Araújo Durão;2017;http://link.springer.com/article/10.1007/s11042-016-3922-0;Article;"A social interactive whiteboard system using finger-tracking for mobile devices,""Multimedia Tools and Applications"","""",""76"",""4"",""10.1007/s11042-016-3922-0"",""Morten BestedAndreas Harby WeisbergFrederico Araújo Durão"",""2017"",""http://link.springer.com/article/10.1007/s11042-016-3922-0"",""Article"""
Capacity Planning and Architecture;Expert Oracle RAC Performance Diagnostics and Tuning;;;;10.1007/978-1-4302-6710-2_2;Murali Vallath;2014;http://link.springer.com/chapter/10.1007/978-1-4302-6710-2_2;Chapter;"Capacity Planning and Architecture,""Expert Oracle RAC Performance Diagnostics and Tuning"","""","""","""",""10.1007/978-1-4302-6710-2_2"",""Murali Vallath"",""2014"",""http://link.springer.com/chapter/10.1007/978-1-4302-6710-2_2"",""Chapter"""
An Experimental Evaluation of Error Rate in a Web Server System;Advances in Software Engineering;;;;10.1007/978-3-642-10619-4_33;Xiao XiaoTadashi Dohi;2009;http://link.springer.com/chapter/10.1007/978-3-642-10619-4_33;Chapter;"An Experimental Evaluation of Error Rate in a Web Server System,""Advances in Software Engineering"","""","""","""",""10.1007/978-3-642-10619-4_33"",""Xiao XiaoTadashi Dohi"",""2009"",""http://link.springer.com/chapter/10.1007/978-3-642-10619-4_33"",""Chapter"""
Application-Integrated Data Collection for Security Monitoring;Recent Advances in Intrusion Detection;;;;10.1007/3-540-45474-8_2;Magnus AlmgrenUlf Lindqvist;2001;http://link.springer.com/chapter/10.1007/3-540-45474-8_2;Chapter;"Application-Integrated Data Collection for Security Monitoring,""Recent Advances in Intrusion Detection"","""","""","""",""10.1007/3-540-45474-8_2"",""Magnus AlmgrenUlf Lindqvist"",""2001"",""http://link.springer.com/chapter/10.1007/3-540-45474-8_2"",""Chapter"""
