Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type;Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Model-Based Performance Instrumentation of Distributed Applications;Distributed Applications and Interoperable Systems;;;;10.1007/978-3-540-68642-2_17;Jan SchaeferJeanne StynesReinhold Kroeger;2008;http://link.springer.com/chapter/10.1007/978-3-540-68642-2_17;Chapter;"Model-Based Performance Instrumentation of Distributed Applications,""Distributed Applications and Interoperable Systems"","""","""","""",""10.1007/978-3-540-68642-2_17"",""Jan SchaeferJeanne StynesReinhold Kroeger"",""2008"",""http://link.springer.com/chapter/10.1007/978-3-540-68642-2_17"",""Chapter"""
Re-examination of interestingness measures in pattern mining: a unified framework;Data Mining and Knowledge Discovery;;21;3;10.1007/s10618-009-0161-2;Tianyi WuYuguo ChenJiawei Han;2010;http://link.springer.com/article/10.1007/s10618-009-0161-2;Article;"Re-examination of interestingness measures in pattern mining: a unified framework,""Data Mining and Knowledge Discovery"","""",""21"",""3"",""10.1007/s10618-009-0161-2"",""Tianyi WuYuguo ChenJiawei Han"",""2010"",""http://link.springer.com/article/10.1007/s10618-009-0161-2"",""Article"""
j2eeprof — a tool for testing multitier applications;Software Engineering Techniques: Design for Quality;;;;10.1007/978-0-387-39388-9_20;Paweł KłaczewskiJacek Wytrębowicz;2007;http://link.springer.com/chapter/10.1007/978-0-387-39388-9_20;Chapter;"j2eeprof — a tool for testing multitier applications,""Software Engineering Techniques: Design for Quality"","""","""","""",""10.1007/978-0-387-39388-9_20"",""Paweł KłaczewskiJacek Wytrębowicz"",""2007"",""http://link.springer.com/chapter/10.1007/978-0-387-39388-9_20"",""Chapter"""
Digital circuit testing and design for testability;Design of Logic Systems;;;;10.1007/978-1-4899-6856-2_10;D. LewinD. Protheroe;1992;http://link.springer.com/chapter/10.1007/978-1-4899-6856-2_10;Chapter;"Digital circuit testing and design for testability,""Design of Logic Systems"","""","""","""",""10.1007/978-1-4899-6856-2_10"",""D. LewinD. Protheroe"",""1992"",""http://link.springer.com/chapter/10.1007/978-1-4899-6856-2_10"",""Chapter"""
Novel Learning Tasks, Optimization, and Their Application;Advances in Computational Intelligence;;;;10.1007/978-3-662-05609-7_8;Guido DanielJan DienstuhlSebastian EngellSven FelskeKarl GoserRalf KlinkenbergKatharina MorikOliver RitthoffHenner Schmidt-Traub;2003;http://link.springer.com/chapter/10.1007/978-3-662-05609-7_8;Chapter;"Novel Learning Tasks, Optimization, and Their Application,""Advances in Computational Intelligence"","""","""","""",""10.1007/978-3-662-05609-7_8"",""Guido DanielJan DienstuhlSebastian EngellSven FelskeKarl GoserRalf KlinkenbergKatharina MorikOliver RitthoffHenner Schmidt-Traub"",""2003"",""http://link.springer.com/chapter/10.1007/978-3-662-05609-7_8"",""Chapter"""
OrderBased Labeling Scheme for Dynamic XML Query Processing;Multidisciplinary Research and Practice for Information Systems;;;;10.1007/978-3-642-32498-7_22;Beakal Gizachew AssefaBelgin Ergenc;2012;http://link.springer.com/chapter/10.1007/978-3-642-32498-7_22;Chapter;"OrderBased Labeling Scheme for Dynamic XML Query Processing,""Multidisciplinary Research and Practice for Information Systems"","""","""","""",""10.1007/978-3-642-32498-7_22"",""Beakal Gizachew AssefaBelgin Ergenc"",""2012"",""http://link.springer.com/chapter/10.1007/978-3-642-32498-7_22"",""Chapter"""
Green mining: a methodology of relating software change and configuration to power consumption;Empirical Software Engineering;;20;2;10.1007/s10664-013-9276-6;Abram Hindle;2015;http://link.springer.com/article/10.1007/s10664-013-9276-6;Article;"Green mining: a methodology of relating software change and configuration to power consumption,""Empirical Software Engineering"","""",""20"",""2"",""10.1007/s10664-013-9276-6"",""Abram Hindle"",""2015"",""http://link.springer.com/article/10.1007/s10664-013-9276-6"",""Article"""
The Test Technology TTCN-3;Formal Methods and Testing;;;;10.1007/978-3-540-78917-8_10;Ina SchieferdeckerJens GrabowskiTheofanis Vassiliou-GiolesGeorge Din;2008;http://link.springer.com/chapter/10.1007/978-3-540-78917-8_10;Chapter;"The Test Technology TTCN-3,""Formal Methods and Testing"","""","""","""",""10.1007/978-3-540-78917-8_10"",""Ina SchieferdeckerJens GrabowskiTheofanis Vassiliou-GiolesGeorge Din"",""2008"",""http://link.springer.com/chapter/10.1007/978-3-540-78917-8_10"",""Chapter"""
Strategies and Methods for Test Case Design I;Practical Software Testing;;;;10.1007/0-387-21658-8_4;;2003;http://link.springer.com/chapter/10.1007/0-387-21658-8_4;Chapter;"Strategies and Methods for Test Case Design I,""Practical Software Testing"","""","""","""",""10.1007/0-387-21658-8_4"","""",""2003"",""http://link.springer.com/chapter/10.1007/0-387-21658-8_4"",""Chapter"""
REMUS: A Rerouting and Multiplexing System for Grid Connectivity Across Firewalls;Journal of Grid Computing;;7;1;10.1007/s10723-008-9104-1;Jefferson TanDavid AbramsonColin Enticott;2008;http://link.springer.com/article/10.1007/s10723-008-9104-1;Article;"REMUS: A Rerouting and Multiplexing System for Grid Connectivity Across Firewalls,""Journal of Grid Computing"","""",""7"",""1"",""10.1007/s10723-008-9104-1"",""Jefferson TanDavid AbramsonColin Enticott"",""2008"",""http://link.springer.com/article/10.1007/s10723-008-9104-1"",""Article"""
Model-Based Testing of Object-Oriented Systems;Formal Methods for Components and Objects;;;;10.1007/978-3-540-39656-7_16;Bernhard Rumpe;2003;http://link.springer.com/chapter/10.1007/978-3-540-39656-7_16;Chapter;"Model-Based Testing of Object-Oriented Systems,""Formal Methods for Components and Objects"","""","""","""",""10.1007/978-3-540-39656-7_16"",""Bernhard Rumpe"",""2003"",""http://link.springer.com/chapter/10.1007/978-3-540-39656-7_16"",""Chapter"""
Example 3: Entity EJBs for Database Integration;J2EE FrontEnd Technologies: A Programmer’s Guide to Servlets, JavaServer Pages, and Enterprise JavaBeans;;;;10.1007/978-1-4302-1148-8_11;Lennart Jörelid;2002;http://link.springer.com/chapter/10.1007/978-1-4302-1148-8_11;Chapter;"Example 3: Entity EJBs for Database Integration,""J2EE FrontEnd Technologies: A Programmer’s Guide to Servlets, JavaServer Pages, and Enterprise JavaBeans"","""","""","""",""10.1007/978-1-4302-1148-8_11"",""Lennart Jörelid"",""2002"",""http://link.springer.com/chapter/10.1007/978-1-4302-1148-8_11"",""Chapter"""
Grid Computing with Relativistic Quantum Chemistry Software;Journal of Grid Computing;;12;4;10.1007/s10723-014-9309-4;Miroslav IliašMiroslav Dobrucký;2014;http://link.springer.com/article/10.1007/s10723-014-9309-4;Article;"Grid Computing with Relativistic Quantum Chemistry Software,""Journal of Grid Computing"","""",""12"",""4"",""10.1007/s10723-014-9309-4"",""Miroslav IliašMiroslav Dobrucký"",""2014"",""http://link.springer.com/article/10.1007/s10723-014-9309-4"",""Article"""
Integrating behavior analysis into architectural modeling;Frontiers of Computer Science;;9;1;10.1007/s11704-014-3505-z;Luxi ChenLinpeng HuangChen LiTao Zan;2015;http://link.springer.com/article/10.1007/s11704-014-3505-z;Article;"Integrating behavior analysis into architectural modeling,""Frontiers of Computer Science"","""",""9"",""1"",""10.1007/s11704-014-3505-z"",""Luxi ChenLinpeng HuangChen LiTao Zan"",""2015"",""http://link.springer.com/article/10.1007/s11704-014-3505-z"",""Article"""
Incorporating message weights in UML-based analysis of behavioral dependencies in distributed systems;Software & Systems Modeling;;9;1;10.1007/s10270-008-0111-2;Vahid Garousi;2008;http://link.springer.com/article/10.1007/s10270-008-0111-2;Article;"Incorporating message weights in UML-based analysis of behavioral dependencies in distributed systems,""Software & Systems Modeling"","""",""9"",""1"",""10.1007/s10270-008-0111-2"",""Vahid Garousi"",""2008"",""http://link.springer.com/article/10.1007/s10270-008-0111-2"",""Article"""
Image Compression;Data Compression;;;;10.1007/978-3-642-86092-8_5;David Salomon;2000;http://link.springer.com/chapter/10.1007/978-3-642-86092-8_5;Chapter;"Image Compression,""Data Compression"","""","""","""",""10.1007/978-3-642-86092-8_5"",""David Salomon"",""2000"",""http://link.springer.com/chapter/10.1007/978-3-642-86092-8_5"",""Chapter"""
System Simulation;The Electronic Design Automation Handbook;;;;10.1007/978-0-387-73543-6_13;Peter Schwarz;2003;http://link.springer.com/chapter/10.1007/978-0-387-73543-6_13;Chapter;"System Simulation,""The Electronic Design Automation Handbook"","""","""","""",""10.1007/978-0-387-73543-6_13"",""Peter Schwarz"",""2003"",""http://link.springer.com/chapter/10.1007/978-0-387-73543-6_13"",""Chapter"""
Modular System Verification by Inference, Testing and Reachability Analysis;Testing of Software and Communicating Systems;;;;10.1007/978-3-540-68524-1_16;Roland GrozKeqin LiAlexandre PetrenkoMuzammil Shahbaz;2008;http://link.springer.com/chapter/10.1007/978-3-540-68524-1_16;Chapter;"Modular System Verification by Inference, Testing and Reachability Analysis,""Testing of Software and Communicating Systems"","""","""","""",""10.1007/978-3-540-68524-1_16"",""Roland GrozKeqin LiAlexandre PetrenkoMuzammil Shahbaz"",""2008"",""http://link.springer.com/chapter/10.1007/978-3-540-68524-1_16"",""Chapter"""
Extracting DC bus current information for optimal phase correction and current ripple in sensorless brushless DC motor drive;Journal of Zhejiang University SCIENCE C;;15;4;10.1631/jzus.C1300247;Zu-sheng HoChii-maw UangPing-chieh Wang;2014;http://link.springer.com/article/10.1631/jzus.C1300247;Article;"Extracting DC bus current information for optimal phase correction and current ripple in sensorless brushless DC motor drive,""Journal of Zhejiang University SCIENCE C"","""",""15"",""4"",""10.1631/jzus.C1300247"",""Zu-sheng HoChii-maw UangPing-chieh Wang"",""2014"",""http://link.springer.com/article/10.1631/jzus.C1300247"",""Article"""
Fast Functional Test Generation Using an SDL Model;Testing of Communicating Systems;;;;10.1007/978-0-387-35567-2_19;Robert L. ProbertAlan W. Williams;1999;http://link.springer.com/chapter/10.1007/978-0-387-35567-2_19;Chapter;"Fast Functional Test Generation Using an SDL Model,""Testing of Communicating Systems"","""","""","""",""10.1007/978-0-387-35567-2_19"",""Robert L. ProbertAlan W. Williams"",""1999"",""http://link.springer.com/chapter/10.1007/978-0-387-35567-2_19"",""Chapter"""
A social interactive whiteboard system using finger-tracking for mobile devices;Multimedia Tools and Applications;;76;4;10.1007/s11042-016-3922-0;Morten BestedAndreas Harby WeisbergFrederico Araújo Durão;2017;http://link.springer.com/article/10.1007/s11042-016-3922-0;Article;"A social interactive whiteboard system using finger-tracking for mobile devices,""Multimedia Tools and Applications"","""",""76"",""4"",""10.1007/s11042-016-3922-0"",""Morten BestedAndreas Harby WeisbergFrederico Araújo Durão"",""2017"",""http://link.springer.com/article/10.1007/s11042-016-3922-0"",""Article"""
Application-Integrated Data Collection for Security Monitoring;Recent Advances in Intrusion Detection;;;;10.1007/3-540-45474-8_2;Magnus AlmgrenUlf Lindqvist;2001;http://link.springer.com/chapter/10.1007/3-540-45474-8_2;Chapter;"Application-Integrated Data Collection for Security Monitoring,""Recent Advances in Intrusion Detection"","""","""","""",""10.1007/3-540-45474-8_2"",""Magnus AlmgrenUlf Lindqvist"",""2001"",""http://link.springer.com/chapter/10.1007/3-540-45474-8_2"",""Chapter"""
Power-aware performance management of virtualized enterprise servers via robust adaptive control;Cluster Computing;;18;1;10.1007/s10586-014-0407-7;Xiaoyu ShiChristopher A. BriereSeddik M. DjouadiYefu WangYong Feng;2015;http://link.springer.com/article/10.1007/s10586-014-0407-7;Article;"Power-aware performance management of virtualized enterprise servers via robust adaptive control,""Cluster Computing"","""",""18"",""1"",""10.1007/s10586-014-0407-7"",""Xiaoyu ShiChristopher A. BriereSeddik M. DjouadiYefu WangYong Feng"",""2015"",""http://link.springer.com/article/10.1007/s10586-014-0407-7"",""Article"""
A New Clustering Algorithm for Transaction Data via Caucus;Advances in Knowledge Discovery and Data Mining;;;;10.1007/3-540-36175-8_55;Jinmei XuHui XiongSam Yuan SungVipin Kumar;2003;http://link.springer.com/chapter/10.1007/3-540-36175-8_55;Chapter;"A New Clustering Algorithm for Transaction Data via Caucus,""Advances in Knowledge Discovery and Data Mining"","""","""","""",""10.1007/3-540-36175-8_55"",""Jinmei XuHui XiongSam Yuan SungVipin Kumar"",""2003"",""http://link.springer.com/chapter/10.1007/3-540-36175-8_55"",""Chapter"""
PRODA: improving parallel programs on GPUs through dependency analysis;Cluster Computing;;;;10.1007/s10586-017-1295-4;Xiong WeiMing HuTao PengMinghua JiangZhiying WangXiao Qin;2017;http://link.springer.com/article/10.1007/s10586-017-1295-4;Article;"PRODA: improving parallel programs on GPUs through dependency analysis,""Cluster Computing"","""","""","""",""10.1007/s10586-017-1295-4"",""Xiong WeiMing HuTao PengMinghua JiangZhiying WangXiao Qin"",""2017"",""http://link.springer.com/article/10.1007/s10586-017-1295-4"",""Article"""
Finding robust solutions in requirements models;Automated Software Engineering;;17;1;10.1007/s10515-009-0059-7;Gregory GayTim MenziesOmid JalaliGregory MundyBeau GilkersonMartin FeatherJames Kiper;2009;http://link.springer.com/article/10.1007/s10515-009-0059-7;Article;"Finding robust solutions in requirements models,""Automated Software Engineering"","""",""17"",""1"",""10.1007/s10515-009-0059-7"",""Gregory GayTim MenziesOmid JalaliGregory MundyBeau GilkersonMartin FeatherJames Kiper"",""2009"",""http://link.springer.com/article/10.1007/s10515-009-0059-7"",""Article"""
On the incremental growth and shrinkage of LR goto-graphs;Acta Informatica;;51;7;10.1007/s00236-014-0201-2;Walter CazzolaEdoardo Vacchi;2014;http://link.springer.com/article/10.1007/s00236-014-0201-2;Article;"On the incremental growth and shrinkage of LR goto-graphs,""Acta Informatica"","""",""51"",""7"",""10.1007/s00236-014-0201-2"",""Walter CazzolaEdoardo Vacchi"",""2014"",""http://link.springer.com/article/10.1007/s00236-014-0201-2"",""Article"""
Distance-Aware Selective Online Query Processing Over Large Distributed Graphs;Data Science and Engineering;;2;1;10.1007/s41019-016-0023-z;Xiaofei ZhangLei Chen;2017;http://link.springer.com/article/10.1007/s41019-016-0023-z;Article;"Distance-Aware Selective Online Query Processing Over Large Distributed Graphs,""Data Science and Engineering"","""",""2"",""1"",""10.1007/s41019-016-0023-z"",""Xiaofei ZhangLei Chen"",""2017"",""http://link.springer.com/article/10.1007/s41019-016-0023-z"",""Article"""
Maxx: Test Pattern Optimisation with Local Search Over an Extended Logic;Constraints;;12;4;10.1007/s10601-007-9025-9;Francisco Azevedo;2007;http://link.springer.com/article/10.1007/s10601-007-9025-9;Article;"Maxx: Test Pattern Optimisation with Local Search Over an Extended Logic,""Constraints"","""",""12"",""4"",""10.1007/s10601-007-9025-9"",""Francisco Azevedo"",""2007"",""http://link.springer.com/article/10.1007/s10601-007-9025-9"",""Article"""
Performance Analysis of an Adaptive User Interface System Based on Mobile Agents;Engineering Interactive Systems;;;;10.1007/978-3-540-92698-6_1;Nikola MitrovićJose A. RoyoEduardo Mena;2008;http://link.springer.com/chapter/10.1007/978-3-540-92698-6_1;Chapter;"Performance Analysis of an Adaptive User Interface System Based on Mobile Agents,""Engineering Interactive Systems"","""","""","""",""10.1007/978-3-540-92698-6_1"",""Nikola MitrovićJose A. RoyoEduardo Mena"",""2008"",""http://link.springer.com/chapter/10.1007/978-3-540-92698-6_1"",""Chapter"""
ArchSim: A System-Level Parallel Simulation Platform for the Architecture Design of High Performance Computer;Journal of Computer Science and Technology;;24;5;10.1007/s11390-009-9281-9;Yong-Qin HuangHong-Liang LiXiang-Hui XieLei QianZi-Yu HaoFeng GuoKun Zhang;2009;http://link.springer.com/article/10.1007/s11390-009-9281-9;Article;"ArchSim: A System-Level Parallel Simulation Platform for the Architecture Design of High Performance Computer,""Journal of Computer Science and Technology"","""",""24"",""5"",""10.1007/s11390-009-9281-9"",""Yong-Qin HuangHong-Liang LiXiang-Hui XieLei QianZi-Yu HaoFeng GuoKun Zhang"",""2009"",""http://link.springer.com/article/10.1007/s11390-009-9281-9"",""Article"""
An Environment for Specifying Properties of Dyadic Relations and Reasoning about Them I: Language Extension Mechanisms;Theory and Applications of Relational Structures as Knowledge Instruments;;;;10.1007/978-3-540-24615-2_5;Pasquale CaianielloStefania CostantiniEugenio G. Omodeo;2003;http://link.springer.com/chapter/10.1007/978-3-540-24615-2_5;Chapter;"An Environment for Specifying Properties of Dyadic Relations and Reasoning about Them I: Language Extension Mechanisms,""Theory and Applications of Relational Structures as Knowledge Instruments"","""","""","""",""10.1007/978-3-540-24615-2_5"",""Pasquale CaianielloStefania CostantiniEugenio G. Omodeo"",""2003"",""http://link.springer.com/chapter/10.1007/978-3-540-24615-2_5"",""Chapter"""
Dynamic Characterization of Web Application Interfaces;Fundamental Approaches to Software Engineering;;;;10.1007/978-3-540-71289-3_21;Marc Fisher IISebastian ElbaumGregg Rothermel;2007;http://link.springer.com/chapter/10.1007/978-3-540-71289-3_21;Chapter;"Dynamic Characterization of Web Application Interfaces,""Fundamental Approaches to Software Engineering"","""","""","""",""10.1007/978-3-540-71289-3_21"",""Marc Fisher IISebastian ElbaumGregg Rothermel"",""2007"",""http://link.springer.com/chapter/10.1007/978-3-540-71289-3_21"",""Chapter"""
Replicating Web Structure in Small-Scale Test Collections;Information Retrieval;;7;03/abr;10.1023/B:INRT.0000011206.23588.ab;Cathal GurrinAlan F. Smeaton;2004;http://link.springer.com/article/10.1023/B%3AINRT.0000011206.23588.ab;Article;"Replicating Web Structure in Small-Scale Test Collections,""Information Retrieval"","""",""7"",""3 - 4"",""10.1023/B:INRT.0000011206.23588.ab"",""Cathal GurrinAlan F. Smeaton"",""2004"",""http://link.springer.com/article/10.1023/B%3AINRT.0000011206.23588.ab"",""Article"""
Grid-based Data Access to Nucleotide Sequence Database;New Generation Computing;;25;4;10.1007/s00354-007-0026-4;Frank Zhigang WangSining WuNa HelianZhiwei XuYuhui DengVineet KhareChenhan LiaoChris ThompsonMichael Parker;2007;http://link.springer.com/article/10.1007/s00354-007-0026-4;Article;"Grid-based Data Access to Nucleotide Sequence Database,""New Generation Computing"","""",""25"",""4"",""10.1007/s00354-007-0026-4"",""Frank Zhigang WangSining WuNa HelianZhiwei XuYuhui DengVineet KhareChenhan LiaoChris ThompsonMichael Parker"",""2007"",""http://link.springer.com/article/10.1007/s00354-007-0026-4"",""Article"""
Introduction;Maximizing .NET Performance;;;;10.1007/978-1-4302-0784-9_1;Nick Wienholt;2004;http://link.springer.com/chapter/10.1007/978-1-4302-0784-9_1;Chapter;"Introduction,""Maximizing .NET Performance"","""","""","""",""10.1007/978-1-4302-0784-9_1"",""Nick Wienholt"",""2004"",""http://link.springer.com/chapter/10.1007/978-1-4302-0784-9_1"",""Chapter"""
Component-Oriented Programming;Object-Oriented Technology;;;;10.1007/3-540-44555-2_5;Jan BoschClemens SzyperskiWolfgang Weck;2000;http://link.springer.com/chapter/10.1007/3-540-44555-2_5;Chapter;"Component-Oriented Programming,""Object-Oriented Technology"","""","""","""",""10.1007/3-540-44555-2_5"",""Jan BoschClemens SzyperskiWolfgang Weck"",""2000"",""http://link.springer.com/chapter/10.1007/3-540-44555-2_5"",""Chapter"""
View Selection in OLAP Environment;Database and Expert Systems Applications;;;;10.1007/3-540-44469-6_42;Shi Guang QiuTok Wang Ling;2000;http://link.springer.com/chapter/10.1007/3-540-44469-6_42;Chapter;"View Selection in OLAP Environment,""Database and Expert Systems Applications"","""","""","""",""10.1007/3-540-44469-6_42"",""Shi Guang QiuTok Wang Ling"",""2000"",""http://link.springer.com/chapter/10.1007/3-540-44469-6_42"",""Chapter"""
Multimedia and firewalls: a performance perspective;Multimedia Systems;;11;1;10.1007/s00530-005-0187-2;Utz RoedigJens Schmitt;2005;http://link.springer.com/article/10.1007/s00530-005-0187-2;Article;"Multimedia and firewalls: a performance perspective,""Multimedia Systems"","""",""11"",""1"",""10.1007/s00530-005-0187-2"",""Utz RoedigJens Schmitt"",""2005"",""http://link.springer.com/article/10.1007/s00530-005-0187-2"",""Article"""
The Foundation Component;PREMO: A Framework for Multimedia Middleware;;;;10.1007/3-540-46821-8_5;;1999;http://link.springer.com/chapter/10.1007/3-540-46821-8_5;Chapter;"The Foundation Component,""PREMO: A Framework for Multimedia Middleware"","""","""","""",""10.1007/3-540-46821-8_5"","""",""1999"",""http://link.springer.com/chapter/10.1007/3-540-46821-8_5"",""Chapter"""
SmartRank: a smart scheduling tool for mobile cloud computing;The Journal of Supercomputing;;71;8;10.1007/s11227-015-1423-y;Francisco Airton SilvaPaulo MacielRubens Matos;2015;http://link.springer.com/article/10.1007/s11227-015-1423-y;Article;"SmartRank: a smart scheduling tool for mobile cloud computing,""The Journal of Supercomputing"","""",""71"",""8"",""10.1007/s11227-015-1423-y"",""Francisco Airton SilvaPaulo MacielRubens Matos"",""2015"",""http://link.springer.com/article/10.1007/s11227-015-1423-y"",""Article"""
D;Information Technology Encyclopedia and Acronyms;;;;10.1007/978-3-642-56262-4_5;Ejub Kajan;2002;http://link.springer.com/chapter/10.1007/978-3-642-56262-4_5;Chapter;"D,""Information Technology Encyclopedia and Acronyms"","""","""","""",""10.1007/978-3-642-56262-4_5"",""Ejub Kajan"",""2002"",""http://link.springer.com/chapter/10.1007/978-3-642-56262-4_5"",""Chapter"""
Towards the Third Edition of TTCN;Testing of Communicating Systems;;;;10.1007/978-0-387-35567-2_2;Jens GrabowskiDieter Hogrefe;1999;http://link.springer.com/chapter/10.1007/978-0-387-35567-2_2;Chapter;"Towards the Third Edition of TTCN,""Testing of Communicating Systems"","""","""","""",""10.1007/978-0-387-35567-2_2"",""Jens GrabowskiDieter Hogrefe"",""1999"",""http://link.springer.com/chapter/10.1007/978-0-387-35567-2_2"",""Chapter"""
Fault tolerance and QoS scheduling using CAN in mobile social cloud computing;Cluster Computing;;17;3;10.1007/s10586-013-0286-3;SookKyong ChoiKwangSik ChungHeonchang Yu;2014;http://link.springer.com/article/10.1007/s10586-013-0286-3;Article;"Fault tolerance and QoS scheduling using CAN in mobile social cloud computing,""Cluster Computing"","""",""17"",""3"",""10.1007/s10586-013-0286-3"",""SookKyong ChoiKwangSik ChungHeonchang Yu"",""2014"",""http://link.springer.com/article/10.1007/s10586-013-0286-3"",""Article"""
Using TimedTTCN-3 in Interoperability Testing for Real-Time Communication Systems;Testing of Communicating Systems;;;;10.1007/11754008_21;Zhiliang WangJianping WuXia YinXingang ShiBeihang Tian;2006;http://link.springer.com/chapter/10.1007/11754008_21;Chapter;"Using TimedTTCN-3 in Interoperability Testing for Real-Time Communication Systems,""Testing of Communicating Systems"","""","""","""",""10.1007/11754008_21"",""Zhiliang WangJianping WuXia YinXingang ShiBeihang Tian"",""2006"",""http://link.springer.com/chapter/10.1007/11754008_21"",""Chapter"""
Design for Testability;The Electronic Design Automation Handbook;;;;10.1007/978-0-387-73543-6_15;Wolfgang Rülling;2003;http://link.springer.com/chapter/10.1007/978-0-387-73543-6_15;Chapter;"Design for Testability,""The Electronic Design Automation Handbook"","""","""","""",""10.1007/978-0-387-73543-6_15"",""Wolfgang Rülling"",""2003"",""http://link.springer.com/chapter/10.1007/978-0-387-73543-6_15"",""Chapter"""
A Model-Based Approach for Robustness Testing;Testing of Communicating Systems;;;;10.1007/11430230_23;Jean-Claude FernandezLaurent MounierCyril Pachon;2005;http://link.springer.com/chapter/10.1007/11430230_23;Chapter;"A Model-Based Approach for Robustness Testing,""Testing of Communicating Systems"","""","""","""",""10.1007/11430230_23"",""Jean-Claude FernandezLaurent MounierCyril Pachon"",""2005"",""http://link.springer.com/chapter/10.1007/11430230_23"",""Chapter"""
SplitPass: A Mutually Distrusting Two-Party Password Manager;Journal of Computer Science and Technology;;33;1;10.1007/s11390-018-1810-y;Yu-Tao LiuDong DuYu-Bin XiaHai-Bo ChenBin-Yu ZangZhenkai Liang;2018;http://link.springer.com/article/10.1007/s11390-018-1810-y;Article;"SplitPass: A Mutually Distrusting Two-Party Password Manager,""Journal of Computer Science and Technology"","""",""33"",""1"",""10.1007/s11390-018-1810-y"",""Yu-Tao LiuDong DuYu-Bin XiaHai-Bo ChenBin-Yu ZangZhenkai Liang"",""2018"",""http://link.springer.com/article/10.1007/s11390-018-1810-y"",""Article"""
A Formal Equivalence Classes Based Method for Security Policy Conformance Checking;Multidisciplinary Research and Practice for Information Systems;;;;10.1007/978-3-642-32498-7_12;Eckehard HermannUdo LitschauerJürgen Fuß;2012;http://link.springer.com/chapter/10.1007/978-3-642-32498-7_12;Chapter;"A Formal Equivalence Classes Based Method for Security Policy Conformance Checking,""Multidisciplinary Research and Practice for Information Systems"","""","""","""",""10.1007/978-3-642-32498-7_12"",""Eckehard HermannUdo LitschauerJürgen Fuß"",""2012"",""http://link.springer.com/chapter/10.1007/978-3-642-32498-7_12"",""Chapter"""
Selectors Make Set-Based Analysis Too Hard;Higher-Order and Symbolic Computation;;18;03/abr;10.1007/s10990-005-4876-5;Philippe MeunierRobert Bruce FindlerPaul StecklerMitchell Wand;2005;http://link.springer.com/article/10.1007/s10990-005-4876-5;Article;"Selectors Make Set-Based Analysis Too Hard,""Higher-Order and Symbolic Computation"","""",""18"",""3 - 4"",""10.1007/s10990-005-4876-5"",""Philippe MeunierRobert Bruce FindlerPaul StecklerMitchell Wand"",""2005"",""http://link.springer.com/article/10.1007/s10990-005-4876-5"",""Article"""
Introducing MySQL;Beginning PHP and MySQL;;;;10.1007/978-1-4302-0299-8_25;;2008;http://link.springer.com/chapter/10.1007/978-1-4302-0299-8_25;Chapter;"Introducing MySQL,""Beginning PHP and MySQL"","""","""","""",""10.1007/978-1-4302-0299-8_25"","""",""2008"",""http://link.springer.com/chapter/10.1007/978-1-4302-0299-8_25"",""Chapter"""
Specification-Based Testing of User Interfaces;Interactive Systems. Design, Specification, and Verification;;;;10.1007/978-3-540-39929-2_10;Ana C. R. PaivaJoão C. P. FariaRaul F. A. M. Vidal;2003;http://link.springer.com/chapter/10.1007/978-3-540-39929-2_10;Chapter;"Specification-Based Testing of User Interfaces,""Interactive Systems. Design, Specification, and Verification"","""","""","""",""10.1007/978-3-540-39929-2_10"",""Ana C. R. PaivaJoão C. P. FariaRaul F. A. M. Vidal"",""2003"",""http://link.springer.com/chapter/10.1007/978-3-540-39929-2_10"",""Chapter"""
An exploratory study on assessing the energy impact of logging on Android applications;Empirical Software Engineering;;23;3;10.1007/s10664-017-9545-x;Shaiful ChowdhurySilvia Di NardoAbram HindleZhen Ming (Jack) Jiang;2018;http://link.springer.com/article/10.1007/s10664-017-9545-x;Article;"An exploratory study on assessing the energy impact of logging on Android applications,""Empirical Software Engineering"","""",""23"",""3"",""10.1007/s10664-017-9545-x"",""Shaiful ChowdhurySilvia Di NardoAbram HindleZhen Ming (Jack) Jiang"",""2018"",""http://link.springer.com/article/10.1007/s10664-017-9545-x"",""Article"""
Enabling Rapid Feature Deployment on Embedded Platforms with JeCOM Bridge;On the Move to Meaningful Internet Systems 2004: CoopIS, DOA, and ODBASE;;;;10.1007/978-3-540-30469-2_41;Jun LiKeith Moore;2004;http://link.springer.com/chapter/10.1007/978-3-540-30469-2_41;Chapter;"Enabling Rapid Feature Deployment on Embedded Platforms with JeCOM Bridge,""On the Move to Meaningful Internet Systems 2004: CoopIS, DOA, and ODBASE"","""","""","""",""10.1007/978-3-540-30469-2_41"",""Jun LiKeith Moore"",""2004"",""http://link.springer.com/chapter/10.1007/978-3-540-30469-2_41"",""Chapter"""
An adaptable multithreaded prefetching technique for client‐server object bases;Cluster Computing;;1;1;10.1023/A:1019060810490;Nils Knafla;1998;http://link.springer.com/article/10.1023/A%3A1019060810490;Article;"An adaptable multithreaded prefetching technique for client‐server object bases,""Cluster Computing"","""",""1"",""1"",""10.1023/A:1019060810490"",""Nils Knafla"",""1998"",""http://link.springer.com/article/10.1023/A%3A1019060810490"",""Article"""
